country,partner_country,year,import_value_usd,import_weight_tonnes
Afghanistan,Argentina,2008,4,0.001
Afghanistan,Argentina,2010,0,0.0
Afghanistan,Argentina,2011,0,0.0
Afghanistan,Argentina,2015,0,0.0
Afghanistan,Argentina,2016,0,0.0
Afghanistan,Argentina,2017,0,0.0
Afghanistan,Argentina,2018,0,0.0
Afghanistan,Argentina,2019,0,0.0
Afghanistan,Australia,2008,4,0.001
Afghanistan,Australia,2009,0,0.0
Afghanistan,Australia,2010,0,0.0
Afghanistan,Australia,2011,0,0.0
Afghanistan,Australia,2015,0,0.0
Afghanistan,Australia,2016,0,0.0
Afghanistan,Australia,2017,4,0.001
Afghanistan,Australia,2018,0,0.001
Afghanistan,Australia,2019,4,0.001
Afghanistan,Bangladesh,2008,4,0.001
Afghanistan,Bangladesh,2009,0,0.0
Afghanistan,Bangladesh,2010,0,0.0
Afghanistan,Bangladesh,2011,0,0.0
Afghanistan,Bangladesh,2015,0,0.0
Afghanistan,Bangladesh,2016,0,0.0
Afghanistan,Bangladesh,2017,4,0.001
Afghanistan,Bangladesh,2018,0,0.001
Afghanistan,Bangladesh,2019,4,0.001
Afghanistan,Belgium,2008,4,0.001
Afghanistan,Belgium,2009,0,0.0
Afghanistan,Belgium,2010,0,0.0
Afghanistan,Belgium,2011,0,0.0
Afghanistan,Belgium,2015,0,0.0
Afghanistan,Belgium,2016,0,0.0
Afghanistan,Belgium,2017,4,0.001
Afghanistan,Belgium,2018,0,0.001
Afghanistan,Belgium,2019,4,0.001
Afghanistan,Canada,2008,4,0.001
Afghanistan,Canada,2009,0,0.0
Afghanistan,Canada,2010,0,0.0
Afghanistan,Canada,2011,0,0.0
Afghanistan,Canada,2015,0,0.0
Afghanistan,Canada,2016,0,0.0
Afghanistan,Canada,2017,4,0.001
Afghanistan,Canada,2018,0,0.001
Afghanistan,Canada,2019,4,0.001
Afghanistan,China,2008,4,0.001
Afghanistan,China,2009,0,0.0
Afghanistan,China,2010,0,0.0
Afghanistan,China,2011,0,0.0
Afghanistan,China,2013,0,0.0
Afghanistan,China,2014,0,0.0
Afghanistan,China,2015,0,0.0
Afghanistan,China,2016,0,0.0
Afghanistan,China,2017,4,0.001
