country,year,disaster_type,num_disasters,total_deaths,total_affected,total_homeless,total_damage_adjusted_usd,avg_magnitude
Afghanistan,2000,Drought,1,37.0,2580000.0,0.0,91000.0,
Afghanistan,2000,Epidemic,4,557.0,2228.0,0.0,0.0,
Afghanistan,2001,Earthquake,1,4.0,0.0,250.0,0.0,5.0
Afghanistan,2001,Epidemic,2,154.0,4425.0,0.0,0.0,
Afghanistan,2001,Extreme temperature,2,327.0,200000.0,0.0,18000.0,-25.0
Afghanistan,2002,Earthquake,3,1200.0,89500.0,10000.0,0.0,6.1000000000000005
Afghanistan,2002,Epidemic,8,2797.0,206834.0,0.0,0.0,
Afghanistan,2002,Flood,4,81.0,5545.0,0.0,0.0,2410.0
Afghanistan,2002,Mass movement (wet),1,5.0,400.0,0.0,0.0,
Afghanistan,2003,Earthquake,1,1.0,0.0,1000.0,0.0,4.6
Afghanistan,2003,Flood,8,136.0,500.0,3250.0,0.0,5531.666666666667
Afghanistan,2004,Earthquake,1,2.0,0.0,1000.0,0.0,5.2
Afghanistan,2004,Flood,2,16.0,2800.0,1700.0,0.0,40435.0
Afghanistan,2005,Earthquake,2,6.0,500.0,0.0,80000.0,7.05
Afghanistan,2005,Epidemic,1,0.0,3245.0,0.0,0.0,
Afghanistan,2005,Extreme temperature,1,21.0,0.0,0.0,0.0,
Afghanistan,2005,Flood,8,283.0,11500.0,6775.0,0.0,101727.5
Afghanistan,2005,Storm,1,260.0,22656.0,0.0,8031000.0,
Afghanistan,2006,Drought,1,0.0,1900000.0,0.0,0.0,
Afghanistan,2006,Earthquake,1,1.0,740.0,195.0,0.0,5.6
Afghanistan,2006,Flood,7,282.0,24775.0,8015.0,0.0,21976.5
Afghanistan,2006,Mass movement (wet),2,28.0,300000.0,0.0,0.0,
Afghanistan,2006,Storm,2,71.0,0.0,0.0,0.0,
Afghanistan,2007,Flood,7,296.0,26755.0,3480.0,0.0,73230.0
Afghanistan,2008,Drought,1,0.0,280000.0,0.0,0.0,
Afghanistan,2008,Epidemic,1,17.0,1100.0,0.0,0.0,
Afghanistan,2008,Extreme temperature,1,1317.0,170502.0,0.0,0.0,
Afghanistan,2008,Flood,1,0.0,1000.0,180.0,0.0,
Afghanistan,2009,Earthquake,1,22.0,0.0,3250.0,0.0,5.2
Afghanistan,2009,Flood,3,69.0,62500.0,0.0,29243000.0,88520.0
Afghanistan,2009,Mass movement (wet),1,10.0,21.0,0.0,0.0,
Afghanistan,2010,Earthquake,1,11.0,0.0,1000.0,0.0,5.6
Afghanistan,2010,Flood,2,135.0,45000.0,0.0,0.0,121304.5
Afghanistan,2010,Mass movement (wet),2,204.0,0.0,0.0,0.0,
Afghanistan,2011,Drought,1,0.0,1750000.0,0.0,198026000.0,
Afghanistan,2011,Flood,2,62.0,3000.0,9700.0,0.0,63337.0
Afghanistan,2011,Storm,1,21.0,0.0,0.0,0.0,
Afghanistan,2012,Earthquake,1,75.0,2965.0,570.0,0.0,5.7
Afghanistan,2012,Extreme temperature,1,45.0,0.0,0.0,0.0,-18.0
Afghanistan,2012,Flood,6,149.0,48394.0,2445.0,0.0,17958.0
Afghanistan,2012,Mass movement (wet),3,111.0,0.0,0.0,0.0,
Afghanistan,2013,Earthquake,1,18.0,3390.0,0.0,0.0,5.5
Afghanistan,2013,Flood,4,113.0,17095.0,0.0,0.0,14653.47
Afghanistan,2013,Mass movement (wet),1,24.0,1000.0,0.0,0.0,
Afghanistan,2014,Flood,2,512.0,140020.0,1900.0,3975000.0,63962.67
Afghanistan,2014,Storm,1,63.0,0.0,0.0,0.0,
