country,year,disaster_type,exports_goods_services_gdp_pct,gdp_current_usd,gdp_growth_pct,gdp_per_capita_current_usd,imports_goods_services_gdp_pct,inflation_consumer_prices_pct,trade_gdp_pct,current_account_balance_gdp_pct,external_debt_stocks_gni_pct,fdi_net_inflows_gdp_pct,Gini index,life_expectancy_birth_female_yrs,life_expectancy_birth_male_yrs,life_expectancy_birth_total_yrs,population_growth_annual_pct,poverty_headcount_ratio_3ppp_pct,unemployment_total_pct_labor_force_social,urban_population_pct_total,total_exports_usd,total_exports_tonnes,total_imports_usd,total_imports_tonnes,total_production_tonnes,avg_yield_kg_ha,total_livestock_head,num_disasters,total_deaths,total_affected,total_homeless,total_damage_adjusted_usd,avg_magnitude,employment_to_pop_ratio_female,employment_to_pop_ratio_male,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",employment_to_pop_ratio_1524_female,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",employment_to_pop_ratio_1524_male,employment_to_pop_ratio_1524_total,Unemployment with advanced education (% of total labor force with advanced education),unemployment_advanced_education_female,unemployment_advanced_education_male,unemployment_basic_education,unemployment_basic_education_female,unemployment_basic_education_male,unemployment_female,unemployment_male,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment_youth_female,unemployment_youth_male,unemployment_youth_total,rural_population,total_population,population_female,population_male,urban_population,urbanization_pct,exports_goods_services_gdp_pct_imputed,gdp_current_usd_imputed,gdp_growth_pct_imputed,gdp_per_capita_current_usd_imputed,imports_goods_services_gdp_pct_imputed,inflation_consumer_prices_pct_imputed,trade_gdp_pct_imputed,current_account_balance_gdp_pct_imputed,external_debt_stocks_gni_pct_imputed,fdi_net_inflows_gdp_pct_imputed,Gini index_imputed,life_expectancy_birth_female_yrs_imputed,life_expectancy_birth_male_yrs_imputed,life_expectancy_birth_total_yrs_imputed,population_growth_annual_pct_imputed,poverty_headcount_ratio_3ppp_pct_imputed,unemployment_total_pct_labor_force_social_imputed,urban_population_pct_total_imputed,total_exports_usd_imputed,total_exports_tonnes_imputed,total_imports_usd_imputed,total_imports_tonnes_imputed,total_production_tonnes_imputed,avg_yield_kg_ha_imputed,total_livestock_head_imputed,num_disasters_imputed,total_deaths_imputed,total_affected_imputed,total_homeless_imputed,total_damage_adjusted_usd_imputed,avg_magnitude_imputed,employment_to_pop_ratio_female_imputed,employment_to_pop_ratio_male_imputed,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)_imputed",employment_to_pop_ratio_1524_female_imputed,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)_imputed",employment_to_pop_ratio_1524_male_imputed,employment_to_pop_ratio_1524_total_imputed,Unemployment with advanced education (% of total labor force with advanced education)_imputed,unemployment_advanced_education_female_imputed,unemployment_advanced_education_male_imputed,unemployment_basic_education_imputed,unemployment_basic_education_female_imputed,unemployment_basic_education_male_imputed,unemployment_female_imputed,unemployment_male_imputed,"Unemployment, total (% of total labor force) (modeled ILO estimate)_imputed",unemployment_youth_female_imputed,unemployment_youth_male_imputed,unemployment_youth_total_imputed,rural_population_imputed,total_population_imputed,population_female_imputed,population_male_imputed,urban_population_imputed,urbanization_pct_imputed,trade_dependency_index,resilience_score,gdp_growth_pct_lag1,gdp_growth_pct_lag2,trade_gdp_pct_lag1,trade_gdp_pct_lag2,inflation_consumer_prices_pct_lag1,inflation_consumer_prices_pct_lag2,poverty_headcount_ratio_3ppp_pct_lag1,poverty_headcount_ratio_3ppp_pct_lag2,exports_imports_ratio,gdp_per_capita_growth,trade_balance_gdp_pct
Afghanistan,2000,Drought,10.4208171386207,3521418059.92345,0.0,174.930991430166,36.2890774127896,12.6862687216715,46.7098945514103,0.0,13.7928583731895,0.0048276006173403,34.67281659388646,56.555,53.463,55.005,1.21217597601851,8.118995633187772,7.935,22.078,44.0,0.011,76.0,0.019,7406816.82,5593.225,26304856.0,1.0,37.0,2580000.0,0.0,91000.0,5.0,12.82,73.968,10.565,35.109,55.694,69.011,33.549,7.86,9.956,7.578,7.38,14.091,6.141,10.483,7.463,7.935,14.022,9.507,10.235,15657474.0,20130327.0,10035682.0,10094646.0,4436282.0,22.03780395619008,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,46.7098945514103,0.012851495679446668,,,,,,,,,0.2871612584713444,,-25.868260274168904
Afghanistan,2000,Epidemic,10.4208171386207,3521418059.92345,0.0,174.930991430166,36.2890774127896,12.6862687216715,46.7098945514103,0.0,13.7928583731895,0.0048276006173403,34.67281659388646,56.555,53.463,55.005,1.21217597601851,8.118995633187772,7.935,22.078,44.0,0.011,76.0,0.019,7406816.82,5593.225,26304856.0,4.0,557.0,2228.0,0.0,0.0,5.0,12.82,73.968,10.565,35.109,55.694,69.011,33.549,7.86,9.956,7.578,7.38,14.091,6.141,10.483,7.463,7.935,14.022,9.507,10.235,15657474.0,20130327.0,10035682.0,10094646.0,4436282.0,22.03780395619008,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,46.7098945514103,0.012851495679446668,0.0,,46.7098945514103,,12.6862687216715,,8.118995633187772,,0.2871612584713444,0.0,-25.868260274168904
Afghanistan,2001,Earthquake,10.4208171386207,2813571753.87253,0.0,138.706821676113,36.2890774127896,12.6862687216715,46.7098945514103,0.0,13.7928583731895,0.0241685679088889,34.67281659388646,57.089,53.941,55.511,0.762004896898895,8.118995633187772,7.953,22.169,44.0,0.011,76.0,0.019,6744376.45,5692.111111111111,22306844.0,1.0,4.0,0.0,250.0,0.0,5.0,12.728,73.913,10.465,35.109,55.608,69.011,33.464,7.86,9.956,7.578,7.38,14.091,6.141,10.508,7.484,7.953,14.054,9.529,10.254,16318324.0,20284307.0,10104514.0,10179792.0,4648139.0,22.914950951984707,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,46.7098945514103,0.013023528644667418,0.0,0.0,46.7098945514103,46.7098945514103,12.6862687216715,12.6862687216715,8.118995633187772,8.118995633187772,0.2871612584713444,-20.707691334679247,-25.868260274168904
Afghanistan,2001,Epidemic,10.4208171386207,2813571753.87253,0.0,138.706821676113,36.2890774127896,12.6862687216715,46.7098945514103,0.0,13.7928583731895,0.0241685679088889,34.67281659388646,57.089,53.941,55.511,0.762004896898895,8.118995633187772,7.953,22.169,44.0,0.011,76.0,0.019,6744376.45,5692.111111111111,22306844.0,2.0,154.0,4425.0,0.0,0.0,0.0,12.728,73.913,10.465,35.109,55.608,69.011,33.464,7.86,9.956,7.578,7.38,14.091,6.141,10.508,7.484,7.953,14.054,9.529,10.254,16318324.0,20284307.0,10104514.0,10179792.0,4648139.0,22.914950951984707,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,46.7098945514103,0.013023528644667418,0.0,0.0,46.7098945514103,46.7098945514103,12.6862687216715,12.6862687216715,8.118995633187772,8.118995633187772,0.2871612584713444,0.0,-25.868260274168904
Afghanistan,2001,Extreme temperature,10.4208171386207,2813571753.87253,0.0,138.706821676113,36.2890774127896,12.6862687216715,46.7098945514103,0.0,13.7928583731895,0.0241685679088889,34.67281659388646,57.089,53.941,55.511,0.762004896898895,8.118995633187772,7.953,22.169,44.0,0.011,76.0,0.019,6744376.45,5692.111111111111,22306844.0,2.0,327.0,200000.0,0.0,18000.0,0.0,12.728,73.913,10.465,35.109,55.608,69.011,33.464,7.86,9.956,7.578,7.38,14.091,6.141,10.508,7.484,7.953,14.054,9.529,10.254,16318324.0,20284307.0,10104514.0,10179792.0,4648139.0,22.914950951984707,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,46.7098945514103,0.013023528644667418,0.0,0.0,46.7098945514103,46.7098945514103,12.6862687216715,12.6862687216715,8.118995633187772,8.118995633187772,0.2871612584713444,0.0,-25.868260274168904
Afghanistan,2002,Earthquake,10.4208171386207,3825701438.99963,28.6000011706788,178.954088379235,36.2890774127896,12.6862687216715,46.7098945514103,0.0,13.7928583731895,1.30694987042884,34.67281659388646,57.442,54.986,56.225,5.25202958527833,8.118995633187772,7.93,22.261,44.0,0.011,76.0,0.019,9547127.03,5719.302777777778,21710156.0,3.0,1200.0,89500.0,10000.0,0.0,6.1000000000000005,12.691,73.859,10.432,35.109,55.558,69.011,33.43,7.86,9.956,7.578,7.38,14.091,6.141,10.483,7.463,7.93,14.029,9.512,10.234,17086910.0,21378117.0,10640919.0,10737198.0,4893013.0,22.887951263434474,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,46.7098945514103,0.024433540764313238,0.0,0.0,46.7098945514103,46.7098945514103,12.6862687216715,12.6862687216715,8.118995633187772,8.118995633187772,0.2871612584713444,29.016068724508216,-25.868260274168904
Afghanistan,2002,Epidemic,10.4208171386207,3825701438.99963,28.6000011706788,178.954088379235,36.2890774127896,12.6862687216715,46.7098945514103,0.0,13.7928583731895,1.30694987042884,34.67281659388646,57.442,54.986,56.225,5.25202958527833,8.118995633187772,7.93,22.261,44.0,0.011,76.0,0.019,9547127.03,5719.302777777778,21710156.0,8.0,2797.0,206834.0,0.0,0.0,1208.05,12.691,73.859,10.432,35.109,55.558,69.011,33.43,7.86,9.956,7.578,7.38,14.091,6.141,10.483,7.463,7.93,14.029,9.512,10.234,17086910.0,21378117.0,10640919.0,10737198.0,4893013.0,22.887951263434474,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,46.7098945514103,0.024433540764313238,28.6000011706788,0.0,46.7098945514103,46.7098945514103,12.6862687216715,12.6862687216715,8.118995633187772,8.118995633187772,0.2871612584713444,0.0,-25.868260274168904
Afghanistan,2002,Flood,10.4208171386207,3825701438.99963,28.6000011706788,178.954088379235,36.2890774127896,12.6862687216715,46.7098945514103,0.0,13.7928583731895,1.30694987042884,34.67281659388646,57.442,54.986,56.225,5.25202958527833,8.118995633187772,7.93,22.261,44.0,0.011,76.0,0.019,9547127.03,5719.302777777778,21710156.0,4.0,81.0,5545.0,0.0,0.0,2410.0,12.691,73.859,10.432,35.109,55.558,69.011,33.43,7.86,9.956,7.578,7.38,14.091,6.141,10.483,7.463,7.93,14.029,9.512,10.234,17086910.0,21378117.0,10640919.0,10737198.0,4893013.0,22.887951263434474,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,46.7098945514103,0.024433540764313238,28.6000011706788,28.6000011706788,46.7098945514103,46.7098945514103,12.6862687216715,12.6862687216715,8.118995633187772,8.118995633187772,0.2871612584713444,0.0,-25.868260274168904
Afghanistan,2002,Mass movement (wet),10.4208171386207,3825701438.99963,28.6000011706788,178.954088379235,36.2890774127896,12.6862687216715,46.7098945514103,0.0,13.7928583731895,1.30694987042884,34.67281659388646,57.442,54.986,56.225,5.25202958527833,8.118995633187772,7.93,22.261,44.0,0.011,76.0,0.019,9547127.03,5719.302777777778,21710156.0,1.0,5.0,400.0,0.0,0.0,1207.3,12.691,73.859,10.432,35.109,55.558,69.011,33.43,7.86,9.956,7.578,7.38,14.091,6.141,10.483,7.463,7.93,14.029,9.512,10.234,17086910.0,21378117.0,10640919.0,10737198.0,4893013.0,22.887951263434474,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,46.7098945514103,0.024433540764313238,28.6000011706788,28.6000011706788,46.7098945514103,46.7098945514103,12.6862687216715,12.6862687216715,8.118995633187772,8.118995633187772,0.2871612584713444,0.0,-25.868260274168904
Afghanistan,2003,Earthquake,10.4208171386207,4520946818.54581,8.83227780288267,198.871115728727,36.2890774127896,12.6862687216715,46.7098945514103,0.0,13.7928583731895,1.27849325196424,34.67281659388646,58.472,55.849,57.171,6.14519400188515,8.118995633187772,7.88,22.353,44.0,0.011,76.0,0.019,10128963.2,5649.063888888889,22288402.0,1.0,1.0,0.0,1000.0,0.0,4.6,12.7,73.805,10.458,35.109,55.543,69.011,33.443,7.86,9.956,7.578,7.38,14.091,6.141,10.427,7.414,7.88,13.964,9.47,10.189,17909063.0,22733049.0,11306364.0,11426685.0,5155788.0,22.67970301739991,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,46.7098945514103,0.024180426409647026,28.6000011706788,28.6000011706788,46.7098945514103,46.7098945514103,12.6862687216715,12.6862687216715,8.118995633187772,8.118995633187772,0.2871612584713444,11.12968556900713,-25.868260274168904
