country,year,exports_goods_services_gdp_pct,gdp_current_usd,gdp_growth_pct,gdp_per_capita_current_usd,imports_goods_services_gdp_pct,inflation_consumer_prices_pct,trade_gdp_pct,current_account_balance_gdp_pct,external_debt_stocks_gni_pct,fdi_net_inflows_gdp_pct,Gini index,life_expectancy_birth_female_yrs,life_expectancy_birth_male_yrs,life_expectancy_birth_total_yrs,population_growth_annual_pct,poverty_headcount_ratio_3ppp_pct,unemployment_total_pct_labor_force_social,urban_population_pct_total,total_production_tonnes,avg_yield_kg_ha,total_livestock_head,num_disasters,total_deaths,total_affected,total_homeless,total_damage_adjusted_usd,avg_magnitude,employment_to_pop_ratio_female,employment_to_pop_ratio_male,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",employment_to_pop_ratio_1524_female,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",employment_to_pop_ratio_1524_male,employment_to_pop_ratio_1524_total,Unemployment with advanced education (% of total labor force with advanced education),unemployment_advanced_education_female,unemployment_advanced_education_male,unemployment_basic_education,unemployment_basic_education_female,unemployment_basic_education_male,unemployment_female,unemployment_male,"Unemployment, total (% of total labor force) (modeled ILO estimate)",unemployment_youth_female,unemployment_youth_male,unemployment_youth_total,rural_population,total_population,population_female,population_male,urban_population,urbanization_pct,exports_goods_services_gdp_pct_imputed,gdp_current_usd_imputed,gdp_growth_pct_imputed,gdp_per_capita_current_usd_imputed,imports_goods_services_gdp_pct_imputed,inflation_consumer_prices_pct_imputed,trade_gdp_pct_imputed,current_account_balance_gdp_pct_imputed,external_debt_stocks_gni_pct_imputed,fdi_net_inflows_gdp_pct_imputed,Gini index_imputed,life_expectancy_birth_female_yrs_imputed,life_expectancy_birth_male_yrs_imputed,life_expectancy_birth_total_yrs_imputed,population_growth_annual_pct_imputed,poverty_headcount_ratio_3ppp_pct_imputed,unemployment_total_pct_labor_force_social_imputed,urban_population_pct_total_imputed,total_production_tonnes_imputed,avg_yield_kg_ha_imputed,total_livestock_head_imputed,num_disasters_imputed,total_deaths_imputed,total_affected_imputed,total_homeless_imputed,total_damage_adjusted_usd_imputed,avg_magnitude_imputed,employment_to_pop_ratio_female_imputed,employment_to_pop_ratio_male_imputed,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)_imputed",employment_to_pop_ratio_1524_female_imputed,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)_imputed",employment_to_pop_ratio_1524_male_imputed,employment_to_pop_ratio_1524_total_imputed,Unemployment with advanced education (% of total labor force with advanced education)_imputed,unemployment_advanced_education_female_imputed,unemployment_advanced_education_male_imputed,unemployment_basic_education_imputed,unemployment_basic_education_female_imputed,unemployment_basic_education_male_imputed,unemployment_female_imputed,unemployment_male_imputed,"Unemployment, total (% of total labor force) (modeled ILO estimate)_imputed",unemployment_youth_female_imputed,unemployment_youth_male_imputed,unemployment_youth_total_imputed,rural_population_imputed,total_population_imputed,population_female_imputed,population_male_imputed,urban_population_imputed,urbanization_pct_imputed,disaster_type
Afghanistan,2000.0,10.4208171386207,3521418059.92345,0.0,174.930991430166,36.2890774127896,12.6862687216715,46.7098945514103,0.0,13.7928583731895,0.0048276006173403,34.85689293212037,56.555,53.463,55.005,1.21217597601851,7.954583624912525,7.935,22.078,7406816.82,5593.225,26304856.0,5.0,594.0,2582228.0,0.0,91000.0,5.0,12.82,73.968,10.565,35.109,55.694,69.011,33.549,7.86,9.956,7.578,7.38,14.091,6.141,10.483,7.463,7.935,14.022,9.507,10.235,15657474.0,20130327.0,10035682.0,10094646.0,4436282.0,22.03780395619008,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Drought
Afghanistan,2001.0,10.4208171386207,2813571753.87253,0.0,138.706821676113,36.2890774127896,12.686268721671501,46.70989455141031,0.0,13.792858373189498,0.0241685679088889,34.85689293212037,57.089,53.941,55.511,0.762004896898895,7.954583624912526,7.953,22.169,6744376.45,5692.111111111112,22306844.0,5.0,485.0,204425.0,250.0,18000.0,1.6666666666666667,12.728,73.913,10.465,35.109,55.608,69.011,33.464,7.86,9.956,7.578,7.38,14.091,6.141000000000001,10.508,7.483999999999999,7.953,14.054,9.529,10.254,16318324.0,20284307.0,10104514.0,10179792.0,4648139.0,22.914950951984707,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Earthquake
Afghanistan,2002.0,10.4208171386207,3825701438.99963,28.6000011706788,178.954088379235,36.2890774127896,12.6862687216715,46.7098945514103,0.0,13.7928583731895,1.30694987042884,34.85689293212037,57.442,54.986,56.225,5.25202958527833,7.954583624912525,7.93,22.261,9547127.03,5719.302777777778,21710156.0,16.0,4083.0,302279.0,10000.0,0.0,1207.8625,12.691,73.859,10.432,35.109,55.558,69.011,33.43,7.86,9.956,7.578,7.38,14.091,6.141,10.483,7.463,7.93,14.029,9.512,10.234,17086910.0,21378117.0,10640919.0,10737198.0,4893013.0,22.887951263434474,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Earthquake
Afghanistan,2003.0,10.4208171386207,4520946818.54581,8.83227780288267,198.871115728727,36.2890774127896,12.6862687216715,46.7098945514103,0.0,13.7928583731895,1.27849325196424,34.85689293212037,58.472,55.849,57.171,6.14519400188515,7.954583624912525,7.88,22.353,10128963.2,5649.063888888889,22288402.0,9.0,137.0,500.0,4250.0,0.0,2768.1333333333337,12.7,73.805,10.458,35.109,55.543,69.011,33.443,7.86,9.956,7.578,7.38,14.091,6.141,10.427,7.414,7.88,13.964,9.47,10.189,17909063.0,22733049.0,11306364.0,11426685.0,5155788.0,22.67970301739991,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Earthquake
Afghanistan,2004.0,10.4208171386207,5224896718.67782,1.41411799339429,221.763653873013,36.2890774127896,12.6862687216715,46.7098945514103,0.0,13.7928583731895,3.577104200584,34.85689293212037,59.073,56.519,57.81,3.57583485398158,7.954583624912525,7.899,22.5,9223923.31,5813.883333333333,23277022.0,3.0,18.0,2800.0,2700.0,0.0,20220.1,12.741,73.684,10.535,35.109,55.529,69.011,33.479,7.86,9.956,7.578,7.38,14.091,6.141,10.447,7.432,7.899,13.964,9.478,10.2,18692107.0,23560654.0,11709120.0,11851533.0,5426872.0,23.0336220717812,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Earthquake
Afghanistan,2005.0,10.4208171386207,6203256538.70967,11.2297148272859,254.18424914933604,36.2890774127896,12.6862687216715,46.7098945514103,0.0,13.7928583731895,4.36867310434287,34.85689293212037,59.588,56.88000000000001,58.247,3.51921696042587,7.954583624912525,7.885,22.703,11412745.12,5620.144444444445,23244414.0,13.0,570.0,37901.0,6775.0,8111000.0,54257.86000000001,12.830000000000002,73.58,10.67,35.109,55.56699999999999,69.011,33.569,7.860000000000001,9.956,7.578,7.38,14.091,6.141,10.428,7.4159999999999995,7.885,13.918000000000001,9.456,10.181,19378962.0,24404567.0,12119909.0,12284657.0,5691836.0,23.322831337265683,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Earthquake
Afghanistan,2006.0,10.4208171386207,6971758282.29351,5.35740324748592,274.218553561575,36.2890774127896,6.78459655001655,46.7098945514103,0.0,13.7928583731895,3.4137729732320095,34.85689293212037,60.123000000000005,56.974000000000004,58.553,4.09270201656348,7.954583624912525,7.914,22.907,10392699.2,5557.9944444444445,21683880.0,13.0,382.0,2225515.0,8210.0,0.0,30220.3,12.958000000000002,73.427,10.862,35.109,55.60600000000001,69.011,33.684,7.860000000000001,9.956,7.578,7.38,14.091,6.141,10.456,7.441,7.914,13.91,9.464,10.197,19961972.0,25424094.0,12618615.0,12805479.0,5931478.0,23.33014501913028,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Drought
Afghanistan,2007.0,10.4208171386207,9747886187.39393,13.8263195471281,376.223152003876,36.2890774127896,8.68057078513406,46.7098945514103,0.0,20.4806758495246,1.93570171391636,34.85689293212037,60.804,57.122,58.956,1.8925975396006,7.954583624912525,7.817,23.113,11797813.27,5706.825000000001,19685035.0,7.0,296.0,26755.0,3480.0,0.0,73230.0,13.168,73.344,11.149,35.109,55.722,69.011,33.883,7.86,9.956,7.578,7.38,14.091,6.141,10.337,7.341,7.817,13.746,9.362,10.098,20464923.0,25909852.0,12853489.0,13056362.0,6151869.0,23.74335831790934,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Flood
Afghanistan,2008.0,10.4208171386207,10109297047.5432,3.92498381999467,381.73323802844,36.2890774127896,26.4186641547444,46.7098945514103,0.0,21.2121323521857,0.45536044478174,34.85689293212037,61.428,57.984,59.708,2.18654618162979,7.954583624912525,7.878,23.32,9853121.8,5885.930555555556,23429689.0,4.0,1334.0,452602.0,180.0,0.0,36617.6,13.402,73.104,11.478,35.109,55.755,69.011,34.062,7.86,9.956,7.578,7.38,14.091,6.141,10.397,7.393,7.878,13.749,9.384,10.135,20929119.0,26482622.0,13131734.0,13350888.0,6364912.0,24.034296906099403,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Drought
Afghanistan,2009.0,10.4208171386207,12416152732.0567,21.3905283926492,452.053705477043,36.2890774127896,0.0,46.70989455141031,2.23601941932175,20.0367248536922,0.4518891456218899,34.85689293212037,61.791,58.681000000000004,60.248,3.64638090813246,7.954583624912526,7.7540000000000004,23.528000000000002,12802617.6,7010.524999999999,24543193.0,5.0,101.0,62521.0,3250.0,29243000.0,44262.666666666664,13.694,72.982,11.869,30.942000000000004,55.865,67.4546,34.313,7.86,9.956,7.578,7.38,14.091,6.141000000000001,10.243,7.264,7.7540000000000004,13.539,9.252,10.008,21415593.0,27466100.0,13612943.0,13853157.0,6588738.0,23.988618697230404,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Earthquake
