country,gdp_current_usd,total_exports_usd,agri_exports_usd,drought_impact_frac,ag_export_loss_usd,ag_export_loss_pct
Sweden,610117791237.089,333132297068.2861,33317938165.136147,0.15,12856559389.471912,38.587500000000006
Argentina,633266692533.689,97106594824.14514,9894937674.847298,0.00020830323337810014,6182154.593595476,0.06247795384614063
Germany,4659929336890.62,1961842741501.561,196485007276.95584,0.15,75818652182.99535,38.587500000000006
France,3162079073495.78,1051204231156.4072,109997410193.45102,0.0,0.0,0.0
Croatia,92526176108.621,46077395486.1761,4622616008.898172,0.00020148296282626187,2793572.1756329155,0.06043271105052872
China,18743803170827.2,3753056083353.7656,408813695300.65186,0.0002163513994137574,265284842.20739967,0.06489137845842041
Canada,2241253230970.34,727540727211.8069,73316160130.9204,0.15,28290873290.518913,38.587500000000006
Belgium,664564181486.953,526467154048.82825,55036907266.68126,0.15,21237366591.530636,38.587500000000006
Bangladesh,450119424622.389,47087839406.59147,5249389084.348462,0.0,0.0,0.0
India,3912686168582.21,828633462822.495,248590038846.74854,0.00021193766218415325,158023279.20948067,0.06356782433543096
Iran,436906331671.859,100031086881.8882,12003730425.826584,0.0,0.0,0.0
Sri Lanka,98963185509.6499,19680136462.10919,1968946937.8371255,0.00016288108515650078,961955.9401086351,0.04885636690470374
Spain,1722745978335.16,642459915792.1882,64984653172.55099,0.00021627802965452385,42155139.69256018,0.0648693770521902
Saudi Arabia,1237529866666.67,360914400000.00104,40874664783.88913,0.15,15772511273.483221,38.587500000000006
Russia,2173835806671.66,476430904566.7386,57171708548.00864,0.0002089765574426432,35835150.756580174,0.06267986678496484
Portugal,308683317392.68,143474926799.4493,14827900507.85493,0.00020828668552613807,9263433.03256904,0.06247299155845988
Pakistan,373071855731.539,38809744691.366875,3893296177.3981214,0.0,0.0,0.0
UK,3643834188782.91,1116387681450.0938,133966521774.01126,0.0,0.0,0.0
Japan,4026210821146.81,879791131108.0884,118526781479.9619,0.15,45736521803.58031,38.587500000000006
Italy,2372774547793.12,776676933963.9825,174434748502.44812,0.00020633180723775133,107952033.7082884,0.06188677120532171
Israel,540379921261.681,153655742278.9388,15368532463.981098,0.15,5930332464.538708,38.587500000000006
Australia,1752193307380.34,432883024043.4463,61277570829.18277,0.00021231473236753458,39022107.011174455,0.06368089740363958
Iraq,279641257615.385,104886427209.69234,14744945101.958725,0.0,0.0,0.0
Afghanistan,17152234636.8715,2890629761.300153,420824895.908633,0.00017312608884288767,218529.46743015034,0.05192883537897819
USA,29184890000000.0,3180241000000.002,381628920000.00024,0.00022890639539268335,262011916.007433,0.06865620037586062
