importer,total_ag_imports_usd,top3_share_sum,dependent_on_top3,top1_partner,top2_partner,top3_partner,lost_usd_top1,lost_usd_top2,lost_usd_top3,coverage_before,coverage_after_top1,coverage_after_top2,coverage_after_top3,coverage_drop_pct_top1,coverage_drop_pct_top2,coverage_drop_pct_top3
India,32.0,0.375,False,Afghanistan,Argentina,Spain,4.0,8.0,12.0,14973219.672400735,14973219.634977262,14973219.597553788,14973219.560130313,2.499360436185634e-07,4.998720996769707e-07,7.498081557353779e-07
Sweden,44.0,0.2727272727272727,False,Afghanistan,Sri Lanka,Belgium,4.0,8.0,12.0,2321024.65065738,2321024.544307934,2321024.4379584882,2321024.3316090424,4.582004152749442e-06,9.164008305498884e-06,1.3746012458248326e-05
Croatia,56.0,0.21428571428571427,False,Israel,India,UK,4.0,8.0,12.0,13679.531995035362,13679.337307400228,13679.142619765094,13678.94793212996,0.0014232039166589662,0.0028464078333179325,0.004269611749976899
Argentina,68.0,0.1764705882352941,False,USA,India,Portugal,4.0,8.0,12.0,3047112.8368520327,3047112.7404655106,3047112.6440789895,3047112.547692468,3.1632081650855113e-06,6.326416299606924e-06,9.489624449410385e-06
Spain,72.0,0.16666666666666666,False,Iraq,Argentina,UK,4.0,8.0,12.0,4548067.949473578,4548067.914213483,4548067.87895339,4548067.8436932955,7.752763309922844e-07,1.5505526415072455e-06,2.32582897249953e-06
UK,72.0,0.16666666666666666,False,Afghanistan,Israel,UK,4.0,8.0,12.0,0.5628747792196777,0.5316039581519179,0.5003331370841579,0.4690623160163981,5.555555555555544,11.111111111111107,16.66666666666666
France,76.0,0.15789473684210525,False,Afghanistan,Iran,Sweden,4.0,8.0,12.0,5393666.147808584,5393666.048334402,5393665.94886022,5393665.849386037,1.8442777069700442e-06,3.6885554139400885e-06,5.532833120910132e-06
Australia,84.0,0.14285714285714285,False,Afghanistan,Iran,UK,4.0,8.0,12.0,353592.0555349372,353592.0392751008,353592.0230152645,353592.0067554281,4.598473333240948e-06,9.196946650020083e-06,1.3795419983261028e-05
Belgium,84.0,0.14285714285714285,False,Afghanistan,Argentina,UK,4.0,8.0,12.0,5405178.780609741,5405178.736503483,5405178.692397225,5405178.648290966,8.159999857476336e-07,1.6319999714952672e-06,2.4479999744730906e-06
Israel,84.0,0.14285714285714285,False,Afghanistan,Italy,UK,4.0,8.0,12.0,80590.66260438823,80590.63625784972,80590.6099113112,80590.58356477269,3.269180033454563e-05,6.538360068714784e-05,9.807540102169347e-05
Saudi Arabia,88.0,0.13636363636363635,False,Afghanistan,Argentina,UK,4.0,8.0,12.0,1464909.2855047353,1464909.2783071802,1464909.2711096255,1464909.2639120705,4.913311169354815e-07,9.826622020832411e-07,1.4739933031248617e-06
Germany,92.0,0.13043478260869565,False,Afghanistan,Argentina,UK,4.0,8.0,12.0,,,,,,,
Pakistan,92.0,0.13043478260869565,False,Afghanistan,Iraq,UK,4.0,8.0,12.0,108466.09531708543,108466.07323616292,108466.05115524039,108466.02907431788,2.035744206454605e-05,4.07148841425082e-05,6.107232620705425e-05
Portugal,92.0,0.13043478260869565,False,Afghanistan,Argentina,UK,4.0,8.0,12.0,23455.61028041815,23455.581554209235,23455.552828000324,23455.52410179141,0.00012247052441442439,0.0002449410488133387,0.0003674115732277631
Italy,96.0,0.125,False,Afghanistan,Argentina,UK,4.0,8.0,12.0,,,,,,,
Japan,96.0,0.125,False,Afghanistan,Argentina,UK,4.0,8.0,12.0,,,,,,,
Sri Lanka,96.0,0.125,False,Afghanistan,Argentina,UK,4.0,8.0,12.0,,,,,,,
USA,96.0,0.125,False,Afghanistan,Argentina,Sweden,4.0,8.0,12.0,0.819318141633869,0.7851798857324578,0.7510416298310465,0.7169033739296353,4.1666666666666625,8.33333333333334,12.500000000000004
China,100.0,0.12,False,Afghanistan,Israel,UK,4.0,8.0,12.0,,,,,,,
Canada,0.0,0.0,False,Afghanistan,Israel,UK,0.0,0.0,0.0,2554032.187925353,2554032.187925353,2554032.187925353,2554032.187925353,0.0,0.0,0.0
