country,current_median_age,increased_median_age,median_age_increase,productivity_drop_frac,export_impact_pct_gdp,gdp_loss_usd,labor_ratio
Afghanistan,20.0,25.0,5,0.002267,0.038205270669400646,6553057.668867446,4.534
Afghanistan,20.0,30.0,10,0.004534,0.07641054133880129,13106115.337734891,4.534
Afghanistan,20.0,35.0,15,0.006801,0.11461581200820195,19659173.006602336,4.534
Argentina,33.3,38.3,5,0.013244500000000001,0.20309425875575637,1286128295.1483905,26.489
Argentina,33.3,43.3,10,0.026489000000000002,0.40618851751151275,2572256590.296781,26.489
Argentina,33.3,48.3,15,0.0397335,0.6092827762672691,3858384885.445171,26.489
Australia,38.1,43.1,5,0.032499,0.8028945972531459,14068265398.387959,64.998
Australia,38.1,48.1,10,0.064998,1.6057891945062919,28136530796.775917,64.998
Australia,38.1,53.1,15,0.097497,2.408683791759438,42204796195.16388,64.998
Bangladesh,29.6,34.6,5,0.022816500000000003,0.23868769687551378,1074379687.8204944,45.633
Bangladesh,29.6,39.6,10,0.04563300000000001,0.47737539375102755,2148759375.640989,45.633
Bangladesh,29.6,44.6,15,0.0684495,0.7160630906265412,3223139063.461483,45.633
Belgium,42.0,47.0,5,0.013019000000000001,1.0313640231445813,6854075878.561695,26.038
Belgium,42.0,52.0,10,0.026038000000000002,2.0627280462891626,13708151757.12339,26.038
Belgium,42.0,57.0,15,0.039057,3.094092069433744,20562227635.685085,26.038
Canada,42.6,47.6,5,0.028660500000000002,0.9303581016245253,20851681012.25399,57.321
Canada,42.6,52.6,10,0.057321000000000004,1.8607162032490505,41703362024.50798,57.321
Canada,42.6,57.6,15,0.0859815,2.7910743048735758,62555043036.76197,57.321
China,40.2,45.2,5,0.018946000000000005,0.3793541785900137,71105400555.22046,37.892
China,40.2,50.2,10,0.03789200000000001,0.7587083571800274,142210801110.44092,37.892
China,40.2,55.2,15,0.056838,1.1380625357700407,213316201665.66132,37.892
Croatia,45.1,50.1,5,0.010215000000000002,0.5086999319400534,470680594.891289,20.43
Croatia,45.1,55.1,10,0.020430000000000004,1.0173998638801067,941361189.782578,20.43
Croatia,45.1,60.1,15,0.030645,1.5260997958201599,1412041784.6738665,20.43
France,42.6,47.6,5,0.0168995,0.5618084017357643,17764825904.427704,33.799
