country_a,country_b,total_trade_usd,mutual_benefit_pct,gdp_loss_pct_a,gdp_loss_pct_b
Afghanistan,Sri Lanka,8,6.8896964674503346e-09,3.450572174614026e-10,9.533361625634696e-11
Croatia,Sri Lanka,12,6.2666666694109565e-09,6.313171873361157e-11,1.4300042438452042e-10
Croatia,Portugal,16,3.987941526600022e-09,8.417562497814877e-11,2.843563229463224e-11
Portugal,Sri Lanka,16,3.924969277568786e-09,2.843563229463224e-11,1.9066723251269391e-10
Pakistan,Sri Lanka,16,3.389578866418248e-09,7.803887742099943e-11,1.9066723251269391e-10
Israel,Sri Lanka,16,2.5025686256006824e-09,2.7187980206928677e-11,1.9066723251269391e-10
Afghanistan,Portugal,8,2.4552262483850883e-09,3.450572174614026e-10,1.421781614731612e-11
Pakistan,Portugal,16,2.346883548632014e-09,7.803887742099943e-11,2.843563229463224e-11
Croatia,Sweden,16,2.277113409290511e-09,8.417562497814877e-11,1.2510349905828782e-11
Sri Lanka,Sweden,16,2.2564418627344855e-09,1.9066723251269391e-10,1.2510349905828782e-11
Belgium,Croatia,16,2.1133540850809453e-09,7.59718546640584e-12,8.417562497814877e-11
Iraq,Sri Lanka,8,2.113023274097706e-09,1.9139316970365978e-11,9.533361625634696e-11
Belgium,Sri Lanka,16,2.0955371990053616e-09,7.59718546640584e-12,1.9066723251269391e-10
Afghanistan,Pakistan,8,2.0501040805674506e-09,3.450572174614026e-10,3.9019438710499714e-11
Croatia,Israel,12,1.8960158623624406e-09,6.313171873361157e-11,2.039098515519651e-11
Israel,Portugal,16,1.884429718728327e-09,2.7187980206928677e-11,2.843563229463224e-11
Portugal,Sweden,16,1.7413997272882265e-09,2.843563229463224e-11,1.2510349905828782e-11
Croatia,Pakistan,8,1.7182203215898476e-09,4.2087812489074386e-11,3.9019438710499714e-11
Belgium,Portugal,16,1.6439805926466408e-09,7.59718546640584e-12,2.843563229463224e-11
Belgium,Pakistan,16,1.5419664917276698e-09,7.59718546640584e-12,7.803887742099943e-11
Iran,Sri Lanka,8,1.4929007423443817e-09,1.8415568693031085e-11,9.533361625634696e-11
Bangladesh,Sri Lanka,8,1.4569756631112806e-09,3.318584351347672e-11,9.533361625634696e-11
Israel,Sweden,16,1.3907024608723076e-09,2.7187980206928677e-11,1.2510349905828782e-11
Iraq,Portugal,8,1.359793613906122e-09,1.9139316970365978e-11,1.421781614731612e-11
Belgium,Israel,16,1.3278624264396931e-09,7.59718546640584e-12,2.7187980206928677e-11
Afghanistan,Sweden,8,1.2753678113112116e-09,3.450572174614026e-10,6.255174952914391e-12
Argentina,Portugal,12,1.2739529564778098e-09,3.364659998304694e-11,2.132672422097418e-11
Belgium,Sweden,16,1.2552150530384778e-09,7.59718546640584e-12,1.2510349905828782e-11
Iraq,Pakistan,8,1.2256533286083856e-09,1.9139316970365978e-11,3.9019438710499714e-11
Pakistan,Sweden,12,1.2205173271503034e-09,5.852915806574957e-11,9.382762429371587e-12
Afghanistan,Belgium,8,1.1735084869288096e-09,3.450572174614026e-10,3.79859273320292e-12
Argentina,Sri Lanka,8,1.0925530683584724e-09,2.2431066655364632e-11,9.533361625634696e-11
Iran,Portugal,8,1.0729762691900664e-09,1.8415568693031085e-11,1.421781614731612e-11
Bangladesh,Portugal,8,1.054292447435717e-09,3.318584351347672e-11,1.421781614731612e-11
Argentina,Israel,12,1.0224542770326816e-09,3.364659998304694e-11,2.039098515519651e-11
Pakistan,Saudi Arabia,16,9.93417539388681e-10,7.803887742099943e-11,1.1795550089410234e-11
Iran,Pakistan,8,9.876809183770915e-10,1.8415568693031085e-11,3.9019438710499714e-11
Bangladesh,Pakistan,8,9.718275923137124e-10,3.318584351347672e-11,3.9019438710499714e-11
Argentina,Belgium,12,9.246197050948827e-10,3.364659998304694e-11,5.69788909980438e-12
Saudi Arabia,Sri Lanka,12,8.978722321421296e-10,8.846662567057676e-12,1.4300042438452042e-10
Croatia,Spain,16,8.814105345488855e-10,8.417562497814877e-11,6.605143878287856e-12
Spain,Sri Lanka,16,8.782960703909062e-10,6.605143878287856e-12,1.9066723251269391e-10
Australia,Sri Lanka,16,8.643245485432249e-10,9.64975311336542e-12,1.9066723251269391e-10
Belgium,Saudi Arabia,16,8.411781749452043e-10,7.59718546640584e-12,1.1795550089410234e-11
Argentina,Pakistan,8,7.949611006942705e-10,2.2431066655364632e-11,3.9019438710499714e-11
Portugal,Saudi Arabia,12,7.760896184118549e-10,2.132672422097418e-11,8.846662567057676e-12
Australia,Pakistan,16,7.528472342045218e-10,9.64975311336542e-12,7.803887742099943e-11
Bangladesh,Belgium,8,7.17692442604674e-10,3.318584351347672e-11,3.79859273320292e-12
Afghanistan,Israel,4,7.174474077738814e-10,1.725286087307013e-10,6.796995051732169e-12
Israel,Spain,16,7.069867391314943e-10,2.7187980206928677e-11,6.605143878287856e-12
Australia,Israel,16,6.979057331781464e-10,9.64975311336542e-12,2.7187980206928677e-11
Spain,Sweden,16,6.858523077382157e-10,6.605143878287856e-12,1.2510349905828782e-11
Belgium,Spain,16,6.702103593105061e-10,7.59718546640584e-12,6.605143878287856e-12
Australia,Belgium,16,6.62044084841091e-10,9.64975311336542e-12,7.59718546640584e-12
Australia,Croatia,12,6.505054078631034e-10,7.237314835024065e-12,6.313171873361157e-11
Saudi Arabia,Sweden,12,6.494744790039975e-10,8.846662567057676e-12,9.382762429371587e-12
Croatia,Italy,16,6.49008043719607e-10,8.417562497814877e-11,5.336798119521941e-12
Italy,Sri Lanka,16,6.473178680903407e-10,5.336798119521941e-12,1.9066723251269391e-10
Argentina,Sweden,8,6.434051658533344e-10,2.2431066655364632e-11,6.255174952914391e-12
Italy,Portugal,16,5.966903380333872e-10,5.336798119521941e-12,2.843563229463224e-11
Italy,Pakistan,16,5.826982885663915e-10,5.336798119521941e-12,7.803887742099943e-11
Australia,Portugal,12,5.822764864112936e-10,7.237314835024065e-12,2.132672422097418e-11
Argentina,Croatia,4,5.511214249710831e-10,1.1215533327682316e-11,2.1043906244537193e-11
Israel,Italy,16,5.492328048499036e-10,2.7187980206928677e-11,5.336798119521941e-12
Saudi Arabia,Spain,16,5.404901717863426e-10,1.1795550089410234e-11,6.605143878287856e-12
Italy,Sweden,16,5.363921382828682e-10,5.336798119521941e-12,1.2510349905828782e-11
Iraq,Saudi Arabia,8,5.272971434771871e-10,1.9139316970365978e-11,5.897775044705117e-12
Belgium,Italy,16,5.267769394884847e-10,7.59718546640584e-12,5.336798119521941e-12
Canada,Croatia,12,5.141874147831142e-10,4.1072619529941114e-12,6.313171873361157e-11
Canada,Sri Lanka,12,5.127730886551795e-10,4.1072619529941114e-12,1.4300042438452042e-10
Argentina,Spain,12,5.093351215116618e-10,3.364659998304694e-11,4.953857908715892e-12
Australia,Sweden,12,5.079771249020988e-10,7.237314835024065e-12,9.382762429371587e-12
Argentina,Australia,12,5.030476302445848e-10,3.364659998304694e-11,7.237314835024065e-12
Bangladesh,Saudi Arabia,8,4.74032136966647e-10,3.318584351347672e-11,5.897775044705117e-12
Canada,Portugal,12,4.705999452301519e-10,4.1072619529941114e-12,2.132672422097418e-11
France,Portugal,16,4.6099381628669357e-10,3.7635662020989786e-12,2.843563229463224e-11
Canada,Pakistan,12,4.5900948053628204e-10,4.1072619529941114e-12,5.852915806574957e-11
France,Pakistan,16,4.5259736628832234e-10,3.7635662020989786e-12,7.803887742099943e-11
Afghanistan,Australia,8,4.521445817123594e-10,3.450572174614026e-10,4.82487655668271e-12
Iraq,Sweden,4,4.4955991233343645e-10,9.569658485182989e-12,3.1275874764571955e-12
Italy,Saudi Arabia,16,4.431759254404613e-10,5.336798119521941e-12,1.1795550089410234e-11
Israel,Pakistan,4,4.378994163399268e-10,6.796995051732169e-12,1.9509719355249857e-11
France,Israel,16,4.3214523165969923e-10,3.7635662020989786e-12,2.7187980206928677e-11
Canada,Israel,12,4.3140124320027723e-10,4.1072619529941114e-12,2.039098515519651e-11
Croatia,UK,16,4.282242192252912e-10,8.417562497814877e-11,3.517989877587621e-12
Argentina,Saudi Arabia,8,4.2762533214298124e-10,2.2431066655364632e-11,5.897775044705117e-12
Sri Lanka,UK,16,4.2748774245424436e-10,1.9066723251269391e-10,3.517989877587621e-12
France,Sweden,16,4.241560176667252e-10,3.7635662020989786e-12,1.2510349905828782e-11
Belgium,Iraq,4,4.2363661914538696e-10,1.89929636660146e-12,9.569658485182989e-12
Belgium,France,16,4.1812102497838403e-10,7.59718546640584e-12,3.7635662020989786e-12
Belgium,Canada,12,4.1296469449717584e-10,5.69788909980438e-12,4.1072619529941114e-12
Portugal,UK,16,4.0480529118469136e-10,2.843563229463224e-11,3.517989877587621e-12
