country,hhi_export,hhi_import,avg_hhi,new_partner_1,new_partner_2,new_partner_3
India,0.041666666666666664,0.125,0.08333333333333333,USA,China,Germany
Croatia,0.08333333333333333,0.07142857142857142,0.07738095238095238,USA,Germany,Japan
Sweden,0.041666666666666664,0.09090909090909091,0.06628787878787878,USA,China,Germany
Saudi Arabia,0.06666666666666667,0.045454545454545456,0.05606060606060606,USA,China,Germany
Israel,0.05555555555555555,0.04761904761904761,0.051587301587301584,USA,Germany,UK
UK,0.045454545454545456,0.05555555555555555,0.050505050505050504,USA,Germany,France
Spain,0.045454545454545456,0.05555555555555555,0.050505050505050504,USA,Germany,UK
France,0.04761904761904761,0.05263157894736841,0.05012531328320801,USA,Germany,UK
Belgium,0.041666666666666664,0.04761904761904761,0.04464285714285714,USA,China,Germany
Australia,0.041666666666666664,0.04761904761904761,0.04464285714285714,USA,China,Germany
Pakistan,0.045454545454545456,0.043478260869565216,0.044466403162055336,USA,China,Germany
Germany,0.043478260869565216,0.043478260869565216,0.043478260869565216,USA,China,UK
Portugal,0.043478260869565216,0.043478260869565216,0.043478260869565216,USA,China,Germany
USA,0.041666666666666664,0.041666666666666664,0.041666666666666664,China,Germany,UK
Italy,0.041666666666666664,0.041666666666666664,0.041666666666666664,USA,China,Germany
Japan,0.041666666666666664,0.041666666666666664,0.041666666666666664,USA,China,Germany
Sri Lanka,0.041666666666666664,0.041666666666666664,0.041666666666666664,USA,China,Germany
China,0.041666666666666664,0.04,0.04083333333333333,USA,Germany,UK
Argentina,0.0,0.058823529411764705,0.029411764705882353,USA,Germany,UK
Canada,0.043478260869565216,0.0,0.021739130434782608,USA,China,Germany
Russia,,,,USA,China,Germany
Afghanistan,,,,USA,China,Germany
Iran,,,,USA,China,Germany
Iraq,,,,USA,China,Germany
Bangladesh,,,,USA,China,Germany
